Year,Series,Territorio,Units,Progress,Value
2019,GEN_REGIOPARL,ES211,PT,56.9,56.9
2017,GEN_REGIOPARL,ES211,PT,54.9,45.1
2015,GEN_REGIOPARL,ES211,PT,54.9,45.1
2013,GEN_REGIOPARL,ES211,PT,51.0,51.0
2011,GEN_REGIOPARL,ES211,PT,51.0,51.0
2012,GEN_REGIOPARL,ES211,PT,51.0,51.0
2010,GEN_REGIOPARL,ES211,PT,58.8,41.2
2014,GEN_REGIOPARL,ES212,PT,51.0,49.0
2012,GEN_REGIOPARL,ES212,PT,51.0,49.0
2016,GEN_REGIOPARL,ES212,PT,50.0,50.0
2015,GEN_REGIOPARL,ES212,PT,50.0,50.0
2018,GEN_REGIOPARL,ES212,PT,50.0,50.0
2019,GEN_REGIOPARL,ES212,PT,54.9,54.9
2020,GEN_REGIOPARL,ES212,PT,54.9,54.9
2021,GEN_REGIOPARL,ES212,PT,54.9,54.9
2023,GEN_REGIOPARL,ES212,PT,54.7,54.7
2024,GEN_REGIOPARL,ES212,PT,54.7,54.7
2025,GEN_REGIOPARL,ES212,PT,56.9,43.1
2022,GEN_REGIOPARL,ES212,PT,54.9,54.9
2017,GEN_REGIOPARL,ES212,PT,50.0,50.0
2013,GEN_REGIOPARL,ES212,PT,51.0,49.0
2011,GEN_REGIOPARL,ES212,PT,51.0,49.0
2010,GEN_REGIOPARL,ES212,PT,56.9,43.1
2016,GEN_REGIOPARL,ES213,PT,51.0,49.0
2018,GEN_REGIOPARL,ES213,PT,51.0,49.0
2014,GEN_REGIOPARL,ES213,PT,54.9,45.1
2025,GEN_REGIOPARL,ES213,PT,52.9,47.1
2020,GEN_REGIOPARL,ES213,PT,51.0,51.0
2019,GEN_REGIOPARL,ES213,PT,51.0,51.0
2017,GEN_REGIOPARL,ES213,PT,51.0,49.0
2015,GEN_REGIOPARL,ES213,PT,51.0,49.0
2013,GEN_REGIOPARL,ES213,PT,54.9,45.1
2011,GEN_REGIOPARL,ES213,PT,54.9,45.1
2012,GEN_REGIOPARL,ES213,PT,54.9,45.1
2010,GEN_REGIOPARL,ES213,PT,60.8,39.2
2024,GEN_REGIOPARL,ES213,PT,53.6,46.4
2023,GEN_REGIOPARL,ES213,PT,53.6,46.4
2022,GEN_REGIOPARL,ES213,PT,51.0,51.0
2021,GEN_REGIOPARL,ES213,PT,51.0,51.0
2023,GEN_REGIOG,,PT,66.7,66.7
2022,GEN_REGIOG,,PT,51.7,51.7
2021,GEN_REGIOG,,PT,55.2,55.2
2019,GEN_REGIOG,,PT,55.2,55.2
2018,GEN_REGIOG,,PT,50.0,50.0
2017,GEN_REGIOG,,PT,50.0,50.0
2015,GEN_REGIOG,,PT,50.0,50.0
2014,GEN_REGIOG,,PT,57.7,42.3
2013,GEN_REGIOG,,PT,57.7,42.3
2012,GEN_REGIOG,,PT,57.7,42.3
2011,GEN_REGIOG,,PT,57.7,42.3
2010,GEN_REGIOG,,PT,63.6,36.4
2016,GEN_REGIOG,,PT,50.0,50.0
2020,GEN_REGIOG,,PT,55.2,55.2
2024,GEN_REGIOG,,PT,66.7,66.7
2025,GEN_REGIOG,,PT,66.7,66.7
2025,GEN_REGIOG,ES211,PT,60.0,60.0
2024,GEN_REGIOG,ES211,PT,50.0,50.0
2023,GEN_REGIOG,ES211,PT,50.0,50.0
2022,GEN_REGIOG,ES211,PT,55.6,55.6
2021,GEN_REGIOG,ES211,PT,66.7,66.7
2020,GEN_REGIOG,ES211,PT,66.7,66.7
2019,GEN_REGIOG,ES211,PT,66.7,66.7
2018,GEN_REGIOG,ES211,PT,50.0,50.0
2017,GEN_REGIOG,ES211,PT,50.0,50.0
2016,GEN_REGIOG,ES211,PT,50.0,50.0
2015,GEN_REGIOG,ES211,PT,50.0,50.0
2014,GEN_REGIOG,ES211,PT,50.0,50.0
2013,GEN_REGIOG,ES211,PT,50.0,50.0
2012,GEN_REGIOG,ES211,PT,50.0,50.0
2011,GEN_REGIOG,ES211,PT,50.0,50.0
