Year,Series,Territorio histórico,Units,Progress,Value
2025,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,55.6,44.4
2013,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.6,48.4
2011,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.6,48.4
2024,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.6,48.4
2023,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.6,48.4
2010,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,58.8,41.2
2017,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,51.9,48.1
2019,Proporción de escaños ocupados por mujeres en las Juntas Generales,,%,54.2,54.2
2018,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,54.9,45.1
2020,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,56.9,56.9
2025,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,56.9,43.1
2014,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,51.0,51.0
2024,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,56.8,43.2
2023,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,56.8,43.2
2016,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,54.9,45.1
2022,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,56.9,56.9
2021,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,56.9,56.9
2019,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,56.9,56.9
2017,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,54.9,45.1
2015,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,54.9,45.1
2013,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,51.0,51.0
2011,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,51.0,51.0
2012,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,51.0,51.0
2010,Proporción de escaños ocupados por mujeres en las Juntas Generales,Araba/Álava,%,58.8,41.2
2014,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,51.0,49.0
2012,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,51.0,49.0
2016,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,50.0,50.0
2015,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,50.0,50.0
2018,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,50.0,50.0
2019,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,54.9,54.9
2020,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,54.9,54.9
2021,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,54.9,54.9
2023,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,54.7,54.7
2024,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,54.7,54.7
2025,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,56.9,43.1
2022,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,54.9,54.9
2017,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,50.0,50.0
2013,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,51.0,49.0
2011,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,51.0,49.0
2010,Proporción de escaños ocupados por mujeres en las Juntas Generales,Gipuzkoa,%,56.9,43.1
2016,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,51.0,49.0
2018,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,51.0,49.0
2014,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,54.9,45.1
2025,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,52.9,47.1
2020,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,51.0,51.0
2019,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,51.0,51.0
2017,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,51.0,49.0
2015,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,51.0,49.0
2013,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,54.9,45.1
2011,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,54.9,45.1
2012,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,54.9,45.1
2010,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,60.8,39.2
2024,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,53.6,46.4
2023,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,53.6,46.4
2022,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,51.0,51.0
2021,Proporción de escaños ocupados por mujeres en las Juntas Generales,Bizkaia,%,51.0,51.0
2023,Proporción de mujeres entre las personas Diputadas Forales,,%,66.7,66.7
2022,Proporción de mujeres entre las personas Diputadas Forales,,%,51.7,51.7
2021,Proporción de mujeres entre las personas Diputadas Forales,,%,55.2,55.2
2019,Proporción de mujeres entre las personas Diputadas Forales,,%,55.2,55.2
2018,Proporción de mujeres entre las personas Diputadas Forales,,%,50.0,50.0
2017,Proporción de mujeres entre las personas Diputadas Forales,,%,50.0,50.0
2015,Proporción de mujeres entre las personas Diputadas Forales,,%,50.0,50.0
2014,Proporción de mujeres entre las personas Diputadas Forales,,%,57.7,42.3
2013,Proporción de mujeres entre las personas Diputadas Forales,,%,57.7,42.3
2012,Proporción de mujeres entre las personas Diputadas Forales,,%,57.7,42.3
2011,Proporción de mujeres entre las personas Diputadas Forales,,%,57.7,42.3
2010,Proporción de mujeres entre las personas Diputadas Forales,,%,63.6,36.4
2016,Proporción de mujeres entre las personas Diputadas Forales,,%,50.0,50.0
2020,Proporción de mujeres entre las personas Diputadas Forales,,%,55.2,55.2
2024,Proporción de mujeres entre las personas Diputadas Forales,,%,66.7,66.7
2025,Proporción de mujeres entre las personas Diputadas Forales,,%,66.7,66.7
2025,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,60.0,60.0
2024,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2023,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2022,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,55.6,55.6
2021,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,66.7,66.7
2020,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,66.7,66.7
2019,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,66.7,66.7
2018,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2017,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2016,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2015,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2014,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2013,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2012,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2011,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,50.0,50.0
2010,Proporción de mujeres entre las personas Diputadas Forales,Araba/Álava,%,60.0,40.0
2025,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,60.0,60.0
2024,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,70.0,70.0
2023,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,70.0,70.0
2022,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,50.0,50.0
2021,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,50.0,50.0
2020,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,50.0,50.0
2019,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,50.0,50.0
2018,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,55.6,44.4
2017,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,55.6,44.4
2016,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,55.6,44.4
2015,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,55.6,44.4
2014,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,62.5,37.5
2013,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,62.5,37.5
2012,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,62.5,37.5
2011,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,62.5,37.5
2010,Proporción de mujeres entre las personas Diputadas Forales,Gipuzkoa,%,63.6,36.4
2025,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,80.0,80.0
2024,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,80.0,80.0
2023,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,80.0,80.0
2022,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,50.0,50.0
2021,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,50.0,50.0
2020,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,50.0,50.0
2019,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,50.0,50.0
2018,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,55.6,55.6
2017,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,55.6,55.6
2016,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,55.6,55.6
2015,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,55.6,55.6
2014,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,60.0,40.0
2013,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,60.0,40.0
2012,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,60.0,40.0
2011,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,60.0,40.0
2010,Proporción de mujeres entre las personas Diputadas Forales,Bizkaia,%,66.7,33.3
2025,Proporción de mujeres entre las personas concejalas,,%,53.2,46.8
2024,Proporción de mujeres entre las personas concejalas,,%,53.5,46.5
2023,Proporción de mujeres entre las personas concejalas,,%,51.7,48.3
2022,Proporción de mujeres entre las personas concejalas,,%,52.5,47.5
2021,Proporción de mujeres entre las personas concejalas,,%,52.5,47.5
2020,Proporción de mujeres entre las personas concejalas,,%,52.2,47.8
2019,Proporción de mujeres entre las personas concejalas,,%,52.2,47.8
2018,Proporción de mujeres entre las personas concejalas,,%,58.6,41.4
2017,Proporción de mujeres entre las personas concejalas,,%,58.6,41.4
2016,Proporción de mujeres entre las personas concejalas,,%,58.6,41.4
2015,Proporción de mujeres entre las personas concejalas,,%,58.6,41.4
2014,Proporción de mujeres entre las personas concejalas,,%,59.7,40.3
2013,Proporción de mujeres entre las personas concejalas,,%,59.5,40.5
2012,Proporción de mujeres entre las personas concejalas,,%,59.6,40.4
2011,Proporción de mujeres entre las personas concejalas,,%,59.6,40.4
2010,Proporción de mujeres entre las personas concejalas,,%,72.2,27.8
2024,Proporción de mujeres entre las personas titulares de alcaldías,,%,65.7,34.3
2023,Proporción de mujeres entre las personas titulares de alcaldías,,%,66.9,33.1
2022,Proporción de mujeres entre las personas titulares de alcaldías,,%,69.7,30.3
2021,Proporción de mujeres entre las personas titulares de alcaldías,,%,69.7,30.3
2020,Proporción de mujeres entre las personas titulares de alcaldías,,%,70.8,29.2
2019,Proporción de mujeres entre las personas titulares de alcaldías,,%,70.8,29.2
2018,Proporción de mujeres entre las personas titulares de alcaldías,,%,74.8,25.2
2017,Proporción de mujeres entre las personas titulares de alcaldías,,%,74.8,25.2
2016,Proporción de mujeres entre las personas titulares de alcaldías,,%,74.8,25.2
2015,Proporción de mujeres entre las personas titulares de alcaldías,,%,74.8,25.2
2014,Proporción de mujeres entre las personas titulares de alcaldías,,%,76.9,23.1
2013,Proporción de mujeres entre las personas titulares de alcaldías,,%,77.7,22.3
2012,Proporción de mujeres entre las personas titulares de alcaldías,,%,78.0,22.0
2011,Proporción de mujeres entre las personas titulares de alcaldías,,%,78.0,22.0
2010,Proporción de mujeres entre las personas titulares de alcaldías,,%,80.1,19.9
2025,Proporción de mujeres entre las personas titulares de alcaldías,,%,64.3,35.7
