Year,Series,Sexo,Tipo de tenencia,Territorio histórico,Units,Progress,Value
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Araba/Álava,%,,56.7
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Araba/Álava,%,,50.9
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Bizkaia,%,,62.8
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Bizkaia,%,,60.6
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Bizkaia,%,,57.1
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Bizkaia,%,,52.4
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Gipuzkoa,%,,57.5
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Gipuzkoa,%,,53.2
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Gipuzkoa,%,,39.1
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Mujer,,Gipuzkoa,%,,49.6
2013,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,,%,,56.7
2020,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,,%,,47.5
2009,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,,%,,53.9
2023,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,,%,,42.4
2016,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,Hombre,,,%,,50.7
