Year,Series,Sex,Province,Units,Value
2018,EU_SDG_11_52_PER_100000,Male,Bizkaia,"Per 100,000",23.5
2022,EU_SDG_11_52_NR,Male,Bizkaia,NR,227.0
2020,EU_SDG_11_52_NR,Male,Bizkaia,NR,191.0
2023,EU_SDG_11_52_NR,Male,Bizkaia,NR,183.0
2019,EU_SDG_11_52_NR,Male,Bizkaia,NR,191.0
2023,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",10.2
2021,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",11.6
2016,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",9.5
2016,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,61.0
2017,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,67.0
2019,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,82.0
2018,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,114.0
2023,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,64.0
2020,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,67.0
2015,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,105.0
2021,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,72.0
2020,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",10.8
2015,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",16.1
2017,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",10.5
2018,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",18.1
2022,EU_SDG_11_52_NR,Male,Gipuzkoa,NR,92.0
2019,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",13.1
2022,EU_SDG_11_52_PER_100000,Male,Gipuzkoa,"Per 100,000",14.8
