source_key,source_label,organisation,url,indicator_id
FUENTE.GE_Transicion_ecocirc,Estrategia Española de Economía Circular y Planes de Acción,Ministerio para la Transición Ecológica y el Reto Demográfico,https://www.miteco.gob.es/es/calidad-y-evaluacion-ambiental/temas/economia-circular/estrategia.html,12-1-1
FUENTE.Geoeuskadi,Geoeuskadi,Geoeuskadi,https://www.geo.euskadi.eus/inicio/,14-5-1
FUENTE.Geoeuskadi,Geoeuskadi,Geoeuskadi,https://www.geo.euskadi.eus/inicio/,15-1-2
FUENTE.Geoeuskadi,Geoeuskadi,Geoeuskadi,https://www.geo.euskadi.eus/inicio/,15-1-E1
FUENTE.Geoeuskadi,Geoeuskadi,Geoeuskadi,https://www.geo.euskadi.eus/inicio/,15-4-1
FUENTE.Geoeuskadi,Geoeuskadi,Geoeuskadi,https://www.geo.euskadi.eus/inicio/,15-4-2
FUENTE.Geoeuskadi,Geoeuskadi,Geoeuskadi,https://www.geo.euskadi.eus/inicio/,9-1-1
FUENTE.Ihobe,IHOBE,IHOBE,https://www.ihobe.eus/es/compraverde,12-7-1
FUENTE.Euskadi_Vivienda_inbentarioa,Inbentarioa. Inventario de Planeamiento,Departamento de Vivienda y Agenda Urbana,https://www.euskadi.eus/web01-s2ing/es/contenidos/informacion/200208_inbentarioa_tablas_esta/es_def/index.shtml,11-a-1
FUENTE.INE_icv,Indicadores de calidad de vida,Instituto Nacional de Estadística (INE),https://www.ine.es/dynt3/ICV/index.html,16-1-E1
FUENTE.Eustat_ida,Indicadores demográficos anuales,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_169/opt_0/temas.html,3-4-E2
FUENTE.GE_Hacienda_iart,Informes anuales de recaudación tributaria,Ministerio de Hacienda,https://sede.agenciatributaria.gob.es/Sede/datosabiertos/catalogo/hacienda/Informes_anuales_de_Recaudacion_Tributaria.shtml,3-5-2
FUENTE.Euskadi_Alimentacion_invfor,Inventario Forestal,"Departamento de Alimentación, Desarrollo Rural, Agricultura y Pesca",https://www.euskadi.eus/gobierno-vasco/-/informacion/inventarios-forestales/,15-1-1
FUENTE.Euskadi_Industria_ieca,Inventario de Emisiones de contaminantes a la atmósfera,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/web01-s2ekono/es/contenidos/informacion/estatistika_ing_090226/es_def/index.shtml,2-4-E2
FUENTE.Euskadi_Industria_gei,Inventario de gases de efecto invernadero,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/informacion/inventario-de-gases-de-efecto-invernadero-090205/web01-a2ingair/es/,13-2-2
