Year,Series,Lurralde historikoa,Units,Progress,Value
2020,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.0638297872340423,0.94
2019,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.0989010989010988,0.91
2018,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.162790697674419,0.86
2017,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.0869565217391304,0.92
2016,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.0101010101010102,0.99
2015,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.0989010989010988,0.91
2014,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.1111111111111112,0.9
2013,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.01,1.01
2012,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.0,1.0
2011,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.0989010989010988,0.91
2010,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.0526315789473684,0.95
2024,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.04,1.04
2023,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.1,1.1
2022,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.11,1.11
2021,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Gipuzkoa,Ratioa,1.03,1.03
2024,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.0638297872340423,0.94
2023,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.0101010101010102,0.99
2022,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.0101010101010102,0.99
2021,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.05,1.05
2020,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.05,1.05
2019,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.1235955056179776,0.89
2018,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.162790697674419,0.86
2017,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.0526315789473684,0.95
2016,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.1111111111111112,0.9
2015,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.1363636363636365,0.88
2014,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.0101010101010102,0.99
2013,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.075268817204301,0.93
2012,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.020408163265306,0.98
2011,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.05,1.05
2010,Bizileku-parekotasunaren indizea hezkuntza-jarduerak egitean (10.000 biztanletik gorako eta beherako udalerriak),Bizkaia,Ratioa,1.14,1.14
