Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Progress,Value
2016,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,114.23,85.77
2020,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,112.07,87.93
2011,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,105.09,94.91
2013,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,108.27,91.73
2022,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,114.04,85.96
2017,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,127.87,72.13
2018,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,121.79,121.79
2022,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,110.21,110.21
2021,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,112.08,112.08
2014,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,122.79,122.79
2019,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,120.34,79.66
2016,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,121.62,121.62
2011,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,117.34,117.34
2013,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,116.53,83.47
2020,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,119.39,80.61
2010,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,122.58,77.42
2017,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,117.8,82.2
2015,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,117.83,117.83
2023,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,102.26,102.26
2012,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,114.98,85.02
2011,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,119.62,119.62
2014,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,108.96,91.04
2017,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,124.91,124.91
2015,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,170.86,170.86
2012,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,107.1,107.1
2013,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.91,111.91
2020,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,100.68,100.68
2021,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.86,111.86
2022,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,136.39,136.39
2016,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,105.15,105.15
2019,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.27,111.27
2010,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,141.27,141.27
2018,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,109.42,109.42
2023,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,116.37,83.63
2018,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,125.06,125.06
2021,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,114.77,114.77
2014,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,105.17,105.17
2010,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,104.11,95.89
2016,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,104.4,95.6
2013,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,103.7,103.7
2012,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,106.01,93.99
2019,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,105.87,94.13
2017,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,127.18,127.18
2015,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,113.51,113.51
2011,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,100.82,99.18
2023,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,111.21,88.79
2022,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,105.12,94.88
2020,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,115.2,84.8
2013,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,120.08,79.92
2017,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,127.47,72.53
2019,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,113.56,86.44
2012,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,114.06,85.94
2023,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,118.03,81.97
2021,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,147.91,52.09
2018,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,105.87,105.87
2016,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,106.61,93.39
2011,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,115.68,84.32
2015,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,103.17,103.17
2010,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,111.59,111.59
2020,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,108.14,91.86
2022,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,145.22,54.78
2014,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,116.98,83.02
2022,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,120.56,79.44
2021,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.3,101.3
2023,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,119.12,119.12
2012,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,122.04,77.96
2014,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,102.07,97.93
2019,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,120.41,79.59
2010,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,102.1,97.9
2015,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,102.28,97.72
2018,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.96,101.96
2016,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,112.05,112.05
2017,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,105.56,94.44
2011,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,109.99,90.01
2020,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.57,101.57
2013,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,105.94,94.06
2019,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,102.71,97.29
2023,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,115.66,115.66
2014,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,104.54,104.54
2011,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,117.26,82.74
2013,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.16,103.16
2012,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,111.24,111.24
2020,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.49,103.49
