Year,Ocupacion,Territorio,Units,Progress,Value
2014,SELF_EMP,ES213,PT,65.1,34.9
2013,SELF_EMP,ES213,PT,64.3,35.7
2012,SELF_EMP,ES213,PT,63.1,36.9
2011,SELF_EMP,ES213,PT,63.4,36.6
2018,SELF_EMP,ES213,PT,65.0,35.0
2010,SELF_EMP,ES213,PT,66.5,33.5
2022,SELF_EMP,ES212,PT,68.0,32.0
2021,SELF_EMP,ES212,PT,65.7,34.3
2019,SELF_EMP,ES212,PT,64.4,35.6
2018,SELF_EMP,ES212,PT,64.3,35.7
2024,SELF_EMP,ES212,PT,60.0,40.0
2017,SELF_EMP,ES212,PT,63.8,36.2
2013,SELF_EMP,ES212,PT,65.5,34.5
2016,SELF_EMP,ES212,PT,64.4,35.6
2012,SELF_EMP,ES212,PT,64.4,35.6
2010,SELF_EMP,ES212,PT,69.5,30.5
2011,SELF_EMP,ES212,PT,67.4,32.6
2020,SELF_EMP,ES212,PT,66.6,33.4
2014,SELF_EMP,ES212,PT,63.6,36.4
2015,SELF_EMP,ES212,PT,66.8,33.2
2023,SELF_EMP,ES212,PT,64.7,35.3
