Year,Series,Sex,Province,Units,Value
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",22.1
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",17.6
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",18.5
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",10.2
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",11.6
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",9.5
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",10.8
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",16.1
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",10.5
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",18.1
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",13.1
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",14.8
2023,Number of premature deaths due to exposure to fine particulate matter,,,Number,569.0
2021,Number of premature deaths due to exposure to fine particulate matter,,,Number,607.0
2016,Number of premature deaths due to exposure to fine particulate matter,,,Number,560.0
2020,Number of premature deaths due to exposure to fine particulate matter,,,Number,606.0
2018,Number of premature deaths due to exposure to fine particulate matter,,,Number,836.0
2019,Number of premature deaths due to exposure to fine particulate matter,,,Number,636.0
2015,Number of premature deaths due to exposure to fine particulate matter,,,Number,821.0
2017,Number of premature deaths due to exposure to fine particulate matter,,,Number,594.0
2022,Number of premature deaths due to exposure to fine particulate matter,,,Number,750.0
2017,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,79.0
2015,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,115.0
2019,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,91.0
2020,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,90.0
2021,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,79.0
2022,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,108.0
2016,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,79.0
2018,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,119.0
2023,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,73.0
2017,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,377.0
2022,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,456.0
2020,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,381.0
2023,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,367.0
2016,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,357.0
2018,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,488.0
2015,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,494.0
2021,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,384.0
2019,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,381.0
2017,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,136.0
2023,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,129.0
2015,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,211.0
2016,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,122.0
2020,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,134.0
2019,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,163.0
2018,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,228.0
2022,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,185.0
2021,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,142.0
2021,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,299.0
2016,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,278.0
2023,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,285.0
2018,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,418.0
2022,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,376.0
2019,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,317.0
2020,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,303.0
2015,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,411.0
2017,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,298.0
2021,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,39.0
2022,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,54.0
2017,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,40.0
2015,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,57.0
2016,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,39.0
2018,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,59.0
2019,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,45.0
2020,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,45.0
2023,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,36.0
2021,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,189.0
2017,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,189.0
2015,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,247.0
2018,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,244.0
2020,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,190.0
2022,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,228.0
2023,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,183.0
2016,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,177.0
2019,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,190.0
2015,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,106.0
2016,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,61.0
2018,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,114.0
2020,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,67.0
2017,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,68.0
2021,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,70.0
