Year,Series,Sexo,Territorio histórico,Units,Value
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,22.6
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,17.7
2023,Número de muertes prematuras por exposición a partículas finas,Mujer,Bizkaia,Número,183.0
2021,Número de muertes prematuras por exposición a partículas finas,Mujer,Bizkaia,Número,189.0
2017,Número de muertes prematuras por exposición a partículas finas,Mujer,Bizkaia,Número,189.0
2018,Número de muertes prematuras por exposición a partículas finas,Mujer,Bizkaia,Número,244.0
2020,Número de muertes prematuras por exposición a partículas finas,Mujer,Bizkaia,Número,190.0
2022,Número de muertes prematuras por exposición a partículas finas,Mujer,Bizkaia,Número,228.0
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,22.4
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,16.2
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,17.4
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,17.7
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,17.7
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,21.3
2016,Número de muertes prematuras por exposición a partículas finas,Mujer,Bizkaia,Número,177.0
2019,Número de muertes prematuras por exposición a partículas finas,Mujer,Bizkaia,Número,190.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Bizkaia,Por 100.000,16.9
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,14.4
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,10.3
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,9.8
2015,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,106.0
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,10.4
2016,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,61.0
2018,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,114.0
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,17.4
2020,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,67.0
2017,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,68.0
2021,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,70.0
2019,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,81.0
2023,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,64.0
2022,Número de muertes prematuras por exposición a partículas finas,Mujer,Gipuzkoa,Número,93.0
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,15.7
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,9.2
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,12.5
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Mujer,Gipuzkoa,Por 100.000,10.9
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,20.9
2017,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,296.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,14.1
2019,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,319.0
2016,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,281.0
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,14.7
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,13.9
2022,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,373.0
2015,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,410.0
2020,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,303.0
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,20.1
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,16.0
2021,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,308.0
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,15.5
2023,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,284.0
2018,Número de muertes prematuras por exposición a partículas finas,Hombre,,Número,417.0
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,18.8
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,,Por 100.000,15.2
