Year,Value,Units,Series,Progress
2020,55.2,%,Proporción de mujeres entre las personas Diputadas Forales,55.2
2024,66.7,%,Proporción de mujeres entre las personas Diputadas Forales,66.7
2025,66.7,%,Proporción de mujeres entre las personas Diputadas Forales,66.7
2025,46.8,%,Proporción de mujeres entre las personas concejalas,53.2
2024,46.5,%,Proporción de mujeres entre las personas concejalas,53.5
2023,48.3,%,Proporción de mujeres entre las personas concejalas,51.7
2022,47.5,%,Proporción de mujeres entre las personas concejalas,52.5
2021,47.5,%,Proporción de mujeres entre las personas concejalas,52.5
2020,47.8,%,Proporción de mujeres entre las personas concejalas,52.2
2019,47.8,%,Proporción de mujeres entre las personas concejalas,52.2
2018,41.4,%,Proporción de mujeres entre las personas concejalas,58.6
2017,41.4,%,Proporción de mujeres entre las personas concejalas,58.6
2016,41.4,%,Proporción de mujeres entre las personas concejalas,58.6
2015,41.4,%,Proporción de mujeres entre las personas concejalas,58.6
2014,40.3,%,Proporción de mujeres entre las personas concejalas,59.7
2013,40.5,%,Proporción de mujeres entre las personas concejalas,59.5
2012,40.4,%,Proporción de mujeres entre las personas concejalas,59.6
2011,40.4,%,Proporción de mujeres entre las personas concejalas,59.6
2010,27.8,%,Proporción de mujeres entre las personas concejalas,72.2
2024,34.3,%,Proporción de mujeres entre las personas titulares de alcaldías,65.7
2023,33.1,%,Proporción de mujeres entre las personas titulares de alcaldías,66.9
2022,30.3,%,Proporción de mujeres entre las personas titulares de alcaldías,69.7
2021,30.3,%,Proporción de mujeres entre las personas titulares de alcaldías,69.7
2020,29.2,%,Proporción de mujeres entre las personas titulares de alcaldías,70.8
2019,29.2,%,Proporción de mujeres entre las personas titulares de alcaldías,70.8
2018,25.2,%,Proporción de mujeres entre las personas titulares de alcaldías,74.8
2017,25.2,%,Proporción de mujeres entre las personas titulares de alcaldías,74.8
2016,25.2,%,Proporción de mujeres entre las personas titulares de alcaldías,74.8
2015,25.2,%,Proporción de mujeres entre las personas titulares de alcaldías,74.8
2014,23.1,%,Proporción de mujeres entre las personas titulares de alcaldías,76.9
2013,22.3,%,Proporción de mujeres entre las personas titulares de alcaldías,77.7
2012,22.0,%,Proporción de mujeres entre las personas titulares de alcaldías,78.0
2011,22.0,%,Proporción de mujeres entre las personas titulares de alcaldías,78.0
2010,19.9,%,Proporción de mujeres entre las personas titulares de alcaldías,80.1
2025,35.7,%,Proporción de mujeres entre las personas titulares de alcaldías,64.3
