Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Progress,Value
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,101.57,101.57
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alkiza,%,Alkiza,105.94,94.06
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,102.71,97.29
2023,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,115.66,115.66
2014,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,104.54,104.54
2011,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,117.26,82.74
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,103.16,103.16
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,111.24,111.24
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,103.49,103.49
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,103.28,103.28
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,106.37,106.37
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,115.21,115.21
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,125.08,125.08
2015,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,104.92,95.08
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,116.02,116.02
2018,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Alonsotegi,%,Alonsotegi,125.82,125.82
2010,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,102.75,97.25
2016,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,103.37,103.37
2020,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,134.72,65.28
2013,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,120.88,79.12
2021,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,117.75,117.75
2012,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,113.79,113.79
2019,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,113.46,86.54
2022,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,100.42,100.42
2017,Gasto liquidado de las administraciones locales en proporción al presupuesto aprobado originalmente,,,Altzaga,%,Altzaga,157.72,42.28
