Year,Series,Sexua,Lurralde historikoa,Units,Value
2023,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,17.6
2019,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,18.5
2016,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,179.0
2018,EU_SDG_11_52_PER_100000,Gizona,Bizkaia,100.000 biztanleko,23.5
2022,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,227.0
2020,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,191.0
2023,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,183.0
2019,EU_SDG_11_52_NR,Gizona,Bizkaia,NR,191.0
2023,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,10.2
2021,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,11.6
2016,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,9.5
2016,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,61.0
2017,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,67.0
2019,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,82.0
2018,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,114.0
2023,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,64.0
2020,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,67.0
2015,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,105.0
2021,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,72.0
2020,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,10.8
2015,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,16.1
2017,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,10.5
2018,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,18.1
2022,EU_SDG_11_52_NR,Gizona,Gipuzkoa,NR,92.0
2019,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,13.1
2022,EU_SDG_11_52_PER_100000,Gizona,Gipuzkoa,100.000 biztanleko,14.8
