Year,Series,Lurralde historikoa,Units,Progress,Value
2022,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,68.0,32.0
2016,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,64.4,35.6
2019,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,64.4,35.6
2011,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,67.4,32.6
2018,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,64.3,35.7
2023,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,64.7,35.3
2014,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,63.6,36.4
2010,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,69.5,30.5
2020,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,66.6,33.4
2021,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,65.7,34.3
2015,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,66.8,33.2
2013,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,65.5,34.5
2017,Emakumeen proportzioa enpresarien artean,Gipuzkoa,%,63.8,36.2
