Year,Series,Territorio,Units,Value,Progress
2012,GEN_REGIOG,ES211,PT,50,50.0
2011,GEN_REGIOG,ES211,PT,50,50.0
2010,GEN_REGIOG,ES211,PT,40,60.0
2025,GEN_REGIOG,ES212,PT,60,60.0
2024,GEN_REGIOG,ES212,PT,70,70.0
2023,GEN_REGIOG,ES212,PT,70,70.0
2022,GEN_REGIOG,ES212,PT,50,50.0
2021,GEN_REGIOG,ES212,PT,50,50.0
2020,GEN_REGIOG,ES212,PT,50,50.0
2019,GEN_REGIOG,ES212,PT,50,50.0
2018,GEN_REGIOG,ES212,PT,44.4,55.6
2017,GEN_REGIOG,ES212,PT,44.4,55.6
2016,GEN_REGIOG,ES212,PT,44.4,55.6
2015,GEN_REGIOG,ES212,PT,44.4,55.6
2014,GEN_REGIOG,ES212,PT,37.5,62.5
2013,GEN_REGIOG,ES212,PT,37.5,62.5
2012,GEN_REGIOG,ES212,PT,37.5,62.5
2011,GEN_REGIOG,ES212,PT,37.5,62.5
2010,GEN_REGIOG,ES212,PT,36.4,63.6
2025,GEN_REGIOG,ES213,PT,80,80.0
2024,GEN_REGIOG,ES213,PT,80,80.0
2023,GEN_REGIOG,ES213,PT,80,80.0
2022,GEN_REGIOG,ES213,PT,50,50.0
2021,GEN_REGIOG,ES213,PT,50,50.0
2020,GEN_REGIOG,ES213,PT,50,50.0
2019,GEN_REGIOG,ES213,PT,50,50.0
2018,GEN_REGIOG,ES213,PT,55.6,55.6
2017,GEN_REGIOG,ES213,PT,55.6,55.6
2016,GEN_REGIOG,ES213,PT,55.6,55.6
2015,GEN_REGIOG,ES213,PT,55.6,55.6
2014,GEN_REGIOG,ES213,PT,40,60.0
2013,GEN_REGIOG,ES213,PT,40,60.0
2012,GEN_REGIOG,ES213,PT,40,60.0
2011,GEN_REGIOG,ES213,PT,40,60.0
2010,GEN_REGIOG,ES213,PT,33.3,66.7
2025,GEN_LOCP,,PT,46.8,53.2
2024,GEN_LOCP,,PT,46.5,53.5
2023,GEN_LOCP,,PT,48.3,51.7
2022,GEN_LOCP,,PT,47.5,52.5
2021,GEN_LOCP,,PT,47.5,52.5
2020,GEN_LOCP,,PT,47.8,52.2
2019,GEN_LOCP,,PT,47.8,52.2
2018,GEN_LOCP,,PT,41.4,58.6
2017,GEN_LOCP,,PT,41.4,58.6
2016,GEN_LOCP,,PT,41.4,58.6
2015,GEN_LOCP,,PT,41.4,58.6
2014,GEN_LOCP,,PT,40.3,59.7
2013,GEN_LOCP,,PT,40.5,59.5
2012,GEN_LOCP,,PT,40.4,59.6
2011,GEN_LOCP,,PT,40.4,59.6
2010,GEN_LOCP,,PT,27.8,72.2
2024,GEN_LOCG,,PT,34.3,65.7
2023,GEN_LOCG,,PT,33.1,66.9
2022,GEN_LOCG,,PT,30.3,69.7
2021,GEN_LOCG,,PT,30.3,69.7
2020,GEN_LOCG,,PT,29.2,70.8
2019,GEN_LOCG,,PT,29.2,70.8
2018,GEN_LOCG,,PT,25.2,74.8
2017,GEN_LOCG,,PT,25.2,74.8
2016,GEN_LOCG,,PT,25.2,74.8
2015,GEN_LOCG,,PT,25.2,74.8
2014,GEN_LOCG,,PT,23.1,76.9
2013,GEN_LOCG,,PT,22.3,77.7
2012,GEN_LOCG,,PT,22,78.0
2011,GEN_LOCG,,PT,22,78.0
2010,GEN_LOCG,,PT,19.9,80.1
2025,GEN_LOCG,,PT,35.7,64.3
