Year,Series,Institucion,Territorio,Units,Value,Progress
2024,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.1,1.1
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.04,1.04
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01,1.01
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01,1.01
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.02,1.02
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.09,1.09
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01,1.01
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.01,1.01
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.03,1.03
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.02,1.02
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.05,1.05
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.06,1.06
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_LOC,ES212,RO,1.07,1.07
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65,1.35
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63,1.37
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65,1.35
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.64,1.3599999999999999
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65,1.35
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65,1.35
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65,1.35
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.69,1.31
2024,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.64,1.3599999999999999
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65,1.35
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.65,1.35
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63,1.37
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63,1.37
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.64,1.3599999999999999
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,,RO,0.63,1.37
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58,1.42
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57,1.4300000000000002
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58,1.42
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.55,1.45
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58,1.42
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57,1.4300000000000002
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57,1.4300000000000002
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.56,1.44
2024,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.63,1.37
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.58,1.42
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.6,1.4
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.6,1.4
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.57,1.4300000000000002
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.61,1.3900000000000001
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES211,RO,0.62,1.38
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7,1.3
2024,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.69,1.31
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.67,1.33
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7,1.3
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.72,1.28
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.69,1.31
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.7,1.3
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.67,1.33
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_NAC,ES213,RO,0.68,1.3199999999999998
