Year,Series,Institucion,Territorio,Units,Value,Progress
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.5,1.5
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48,1.48
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48,1.48
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49,1.49
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48,1.48
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.46,1.46
2024,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.46,1.46
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49,1.49
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.47,1.47
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49,1.49
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47,1.47
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.45,1.45
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47,1.47
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.46,1.46
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47,1.47
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47,1.47
2024,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.45,1.45
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.48,1.48
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.44,1.44
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47,1.47
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47,1.47
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47,1.47
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.46,1.46
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47,1.47
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.48,1.48
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.51,1.51
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5,1.5
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49,1.49
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49,1.49
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.46,1.46
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49,1.49
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49,1.49
2024,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.46,1.46
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.51,1.51
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49,1.49
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5,1.5
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5,1.5
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5,1.5
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5,1.5
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49,1.49
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47,1.47
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47,1.47
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46,1.46
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47,1.47
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.5,1.5
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46,1.46
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.45,1.45
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46,1.46
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48,1.48
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48,1.48
2024,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46,1.46
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.49,1.49
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48,1.48
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.49,1.49
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47,1.47
2023,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.29,1.29
2022,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.29,1.29
2024,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.28,1.28
2020,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.27,1.27
2021,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.27,1.27
2024,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.35,1.35
2021,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.36,1.36
2023,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.37,1.37
2020,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.38,1.38
2022,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.38,1.38
2022,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.26,1.26
2023,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.26,1.26
2024,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25,1.25
2020,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25,1.25
2021,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25,1.25
2024,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.27,1.27
2023,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.26,1.26
2020,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.2,1.2
2021,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.22,1.22
2022,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.26,1.26
2024,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.04,1.04
2022,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.05,1.05
2021,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.03,1.03
2023,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.05,1.05
2020,SG_DMK_PSRVC,EU_DMK_MUN,,RO,1.03,1.03
2024,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.19,1.19
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.22,1.22
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.2,1.2
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.19,1.19
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES211,RO,1.19,1.19
2024,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,0.99,1.01
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,1,1.0
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,0.97,1.03
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,1,1.0
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES213,RO,0.97,1.03
2023,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02,1.02
2021,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02,1.02
2022,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.03,1.03
2024,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.03,1.03
2020,SG_DMK_PSRVC,EU_DMK_MUN,ES212,RO,1.02,1.02
2020,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.05,1.05
2018,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.03,1.03
2023,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.06,1.06
2015,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1,1.0
2022,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.07,1.07
2012,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.97,1.03
2014,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.99,1.01
2021,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.06,1.06
2010,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.77,1.23
2024,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.07,1.07
2013,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.98,1.02
2017,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.04,1.04
2016,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.01,1.01
2019,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.04,1.04
2011,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.78,1.22
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.05,1.05
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99,1.01
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99,1.01
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.89,1.1099999999999999
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.89,1.1099999999999999
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.02,1.02
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.98,1.02
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03,1.03
2024,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.08,1.08
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03,1.03
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.04,1.04
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.02,1.02
2023,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.06,1.06
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03,1.03
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99,1.01
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.99,1.01
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.02,1.02
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.06,1.06
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.04,1.04
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.03,1.03
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.97,1.03
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.95,1.05
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.96,1.04
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.75,1.25
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.74,1.26
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.04,1.04
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.05,1.05
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.99,1.01
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.04,1.04
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.02,1.02
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.04,1.04
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,0.77,1.23
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.1,1.1
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,0.76,1.24
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.01,1.01
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.09,1.09
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.11,1.11
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.01,1.01
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.02,1.02
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.07,1.07
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.11,1.11
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.26,1.74
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22,1.78
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22,1.78
2024,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.33,1.67
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.24,1.76
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22,1.78
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.26,1.74
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22,1.78
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.2,1.8
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.24,1.76
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22,1.78
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22,1.78
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.23,1.77
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.3,1.7
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.3,1.7
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.2,1.8
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19,1.81
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.26,1.74
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.22,1.78
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.22,1.78
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21,1.79
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21,1.79
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21,1.79
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.2,1.8
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19,1.81
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21,1.79
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.26,1.74
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19,1.81
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21,1.79
2024,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.33,1.67
2024,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.31,1.69
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.27,1.73
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2,1.8
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2,1.8
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2,1.8
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.24,1.76
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.27,1.73
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.22,1.78
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.25,1.75
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.22,1.78
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.21,1.79
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2,1.8
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.21,1.79
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2,1.8
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.19,1.81
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27,1.73
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.31,1.69
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26,1.74
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.36,1.6400000000000001
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.36,1.6400000000000001
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.33,1.67
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.3,1.7
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.28,1.72
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27,1.73
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26,1.74
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27,1.73
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27,1.73
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26,1.74
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.24,1.76
2024,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.4,1.6
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53,1.53
2024,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.57,1.57
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54,1.54
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54,1.54
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53,1.53
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54,1.54
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55,1.55
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55,1.55
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.52,1.52
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55,1.55
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55,1.55
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54,1.54
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.54,1.54
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55,1.55
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.53,1.53
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.54,1.54
2024,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.56,1.56
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.55,1.55
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58,1.58
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.57,1.57
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.56,1.56
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.53,1.53
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.5,1.5
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.57,1.57
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.54,1.54
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58,1.58
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.59,1.59
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.59,1.59
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.61,1.61
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES211,RO,1.58,1.58
2024,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.55,1.55
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5,1.5
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5,1.5
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51,1.51
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5,1.5
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5,1.5
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.5,1.5
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51,1.51
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.52,1.52
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51,1.51
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.49,1.49
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51,1.51
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.49,1.49
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51,1.51
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES213,RO,1.51,1.51
2022,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.62,1.62
2024,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.61,1.61
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6,1.6
2023,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6,1.6
2019,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6,1.6
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6,1.6
2017,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6,1.6
2015,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.55,1.55
2016,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.57,1.57
2014,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.59,1.59
2013,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.58,1.58
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.61,1.61
2012,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6,1.6
2010,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6,1.6
2021,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6,1.6
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41,1.41
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41,1.41
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4,1.4
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4,1.4
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.38,1.38
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.46,1.46
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39,1.39
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.41,1.41
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.32,1.32
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4,1.4
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.4,1.4
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39,1.39
2024,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.57,1.57
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.39,1.39
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,,RO,1.55,1.55
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.7,1.7
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.37,1.37
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.32,1.32
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.41,1.41
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.42,1.42
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.37,1.37
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.26,1.26
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.39,1.39
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.31,1.31
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.39,1.39
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.17,1.17
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.3,1.3
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.32,1.32
2024,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.56,1.56
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES211,RO,1.41,1.41
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.39,1.39
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.36,1.36
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.4,1.4
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.38,1.38
2024,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.55,1.55
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.38,1.38
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.57,1.57
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.43,1.43
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.35,1.35
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.37,1.37
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.44,1.44
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.45,1.45
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.39,1.39
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.43,1.43
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES213,RO,1.4,1.4
2016,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.42,1.42
2021,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.43,1.43
