Year,Series,Sexo,Territorio,Units,Value
2023,EU_SDG_11_52_PER_100000,F,,PER_100000,27.3
2019,EU_SDG_11_52_PER_100000,F,,PER_100000,30.7
2022,EU_SDG_11_52_PER_100000,F,,PER_100000,36.5
2018,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,34.6
2020,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,25.8
2022,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,30.8
2017,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,23.6
2016,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,23.2
2023,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,20.3
2015,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,34
2019,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,26.1
2021,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,22.3
2017,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,34.8
2020,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,35.5
2015,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,44.7
2019,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,35.4
2022,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,42.7
2018,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,45.3
2021,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,35.5
2016,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,32.4
2023,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,33.8
2023,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,19.6
2020,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,20.7
2019,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,24.9
2018,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,34.9
2022,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,28.9
2015,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,31.5
2016,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,18.3
2017,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,20.6
2021,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,21.8
2018,EU_SDG_11_52_PER_100000,M,,PER_100000,41.8
2016,EU_SDG_11_52_PER_100000,M,,PER_100000,27.8
2015,EU_SDG_11_52_PER_100000,M,,PER_100000,40.1
2019,EU_SDG_11_52_PER_100000,M,,PER_100000,32
2021,EU_SDG_11_52_PER_100000,M,,PER_100000,31.1
2023,EU_SDG_11_52_PER_100000,M,,PER_100000,28.3
2022,EU_SDG_11_52_PER_100000,M,,PER_100000,37.6
2017,EU_SDG_11_52_PER_100000,M,,PER_100000,29.5
2020,EU_SDG_11_52_PER_100000,M,,PER_100000,30.4
2022,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,32
2015,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,35.1
2018,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,35.9
2021,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,23.8
2017,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,23.9
2019,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,27.1
2020,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,26.8
2016,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,24.6
2023,EU_SDG_11_52_PER_100000,M,ES211,PER_100000,21.1
2016,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,33.9
2018,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,47
2017,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,35.9
2021,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,38
2015,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,46.1
2020,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,37
2022,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,44.2
2023,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,35.2
2019,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,36.9
2023,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,20.4
2021,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,23.3
2016,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,19
2020,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,21.5
2015,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,32.3
2017,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,21.1
2018,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,36.2
2019,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,26.2
2022,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,29.7
2023,EU_SDG_11_52_NR,,,NR,569
2021,EU_SDG_11_52_NR,,,NR,607
2016,EU_SDG_11_52_NR,,,NR,560
2020,EU_SDG_11_52_NR,,,NR,606
2018,EU_SDG_11_52_NR,,,NR,836
2019,EU_SDG_11_52_NR,,,NR,636
2015,EU_SDG_11_52_NR,,,NR,821
2017,EU_SDG_11_52_NR,,,NR,594
2022,EU_SDG_11_52_NR,,,NR,750
2017,EU_SDG_11_52_NR,,ES211,NR,79
2015,EU_SDG_11_52_NR,,ES211,NR,115
2019,EU_SDG_11_52_NR,,ES211,NR,91
2020,EU_SDG_11_52_NR,,ES211,NR,90
2021,EU_SDG_11_52_NR,,ES211,NR,79
2022,EU_SDG_11_52_NR,,ES211,NR,108
2016,EU_SDG_11_52_NR,,ES211,NR,79
2018,EU_SDG_11_52_NR,,ES211,NR,119
2023,EU_SDG_11_52_NR,,ES211,NR,73
2017,EU_SDG_11_52_NR,,ES213,NR,377
2022,EU_SDG_11_52_NR,,ES213,NR,456
2020,EU_SDG_11_52_NR,,ES213,NR,381
2023,EU_SDG_11_52_NR,,ES213,NR,367
2016,EU_SDG_11_52_NR,,ES213,NR,357
2018,EU_SDG_11_52_NR,,ES213,NR,488
2015,EU_SDG_11_52_NR,,ES213,NR,494
2021,EU_SDG_11_52_NR,,ES213,NR,384
2019,EU_SDG_11_52_NR,,ES213,NR,381
2017,EU_SDG_11_52_NR,,ES212,NR,136
2023,EU_SDG_11_52_NR,,ES212,NR,129
2015,EU_SDG_11_52_NR,,ES212,NR,211
2016,EU_SDG_11_52_NR,,ES212,NR,122
2020,EU_SDG_11_52_NR,,ES212,NR,134
2019,EU_SDG_11_52_NR,,ES212,NR,163
2018,EU_SDG_11_52_NR,,ES212,NR,228
2022,EU_SDG_11_52_NR,,ES212,NR,185
2021,EU_SDG_11_52_NR,,ES212,NR,142
2021,EU_SDG_11_52_NR,F,,NR,299
2016,EU_SDG_11_52_NR,F,,NR,278
2023,EU_SDG_11_52_NR,F,,NR,285
2018,EU_SDG_11_52_NR,F,,NR,418
2022,EU_SDG_11_52_NR,F,,NR,376
2019,EU_SDG_11_52_NR,F,,NR,317
2020,EU_SDG_11_52_NR,F,,NR,303
2015,EU_SDG_11_52_NR,F,,NR,411
2017,EU_SDG_11_52_NR,F,,NR,298
2021,EU_SDG_11_52_NR,F,ES211,NR,39
2022,EU_SDG_11_52_NR,F,ES211,NR,54
2017,EU_SDG_11_52_NR,F,ES211,NR,40
2015,EU_SDG_11_52_NR,F,ES211,NR,57
2016,EU_SDG_11_52_NR,F,ES211,NR,39
2018,EU_SDG_11_52_NR,F,ES211,NR,59
2019,EU_SDG_11_52_NR,F,ES211,NR,45
2020,EU_SDG_11_52_NR,F,ES211,NR,45
2023,EU_SDG_11_52_NR,F,ES211,NR,36
2021,EU_SDG_11_52_NR,F,ES213,NR,189
2017,EU_SDG_11_52_NR,F,ES213,NR,189
2015,EU_SDG_11_52_NR,F,ES213,NR,247
2018,EU_SDG_11_52_NR,F,ES213,NR,244
2020,EU_SDG_11_52_NR,F,ES213,NR,190
2022,EU_SDG_11_52_NR,F,ES213,NR,228
2023,EU_SDG_11_52_NR,F,ES213,NR,183
2016,EU_SDG_11_52_NR,F,ES213,NR,177
2019,EU_SDG_11_52_NR,F,ES213,NR,190
2015,EU_SDG_11_52_NR,F,ES212,NR,106
2016,EU_SDG_11_52_NR,F,ES212,NR,61
2018,EU_SDG_11_52_NR,F,ES212,NR,114
2020,EU_SDG_11_52_NR,F,ES212,NR,67
2017,EU_SDG_11_52_NR,F,ES212,NR,68
2021,EU_SDG_11_52_NR,F,ES212,NR,70
2019,EU_SDG_11_52_NR,F,ES212,NR,81
2023,EU_SDG_11_52_NR,F,ES212,NR,64
2022,EU_SDG_11_52_NR,F,ES212,NR,93
2017,EU_SDG_11_52_NR,M,,NR,296
2019,EU_SDG_11_52_NR,M,,NR,319
2018,EU_SDG_11_52_NR,M,,NR,417
2015,EU_SDG_11_52_NR,M,,NR,410
2022,EU_SDG_11_52_NR,M,,NR,373
2020,EU_SDG_11_52_NR,M,,NR,303
2021,EU_SDG_11_52_NR,M,,NR,308
2016,EU_SDG_11_52_NR,M,,NR,281
2023,EU_SDG_11_52_NR,M,,NR,284
2021,EU_SDG_11_52_NR,M,ES211,NR,40
2019,EU_SDG_11_52_NR,M,ES211,NR,45
2023,EU_SDG_11_52_NR,M,ES211,NR,36
2022,EU_SDG_11_52_NR,M,ES211,NR,54
2016,EU_SDG_11_52_NR,M,ES211,NR,40
2020,EU_SDG_11_52_NR,M,ES211,NR,45
2018,EU_SDG_11_52_NR,M,ES211,NR,59
2017,EU_SDG_11_52_NR,M,ES211,NR,39
2015,EU_SDG_11_52_NR,M,ES211,NR,57
2018,EU_SDG_11_52_NR,M,ES213,NR,244
2017,EU_SDG_11_52_NR,M,ES213,NR,188
2021,EU_SDG_11_52_NR,M,ES213,NR,195
2015,EU_SDG_11_52_NR,M,ES213,NR,246
2016,EU_SDG_11_52_NR,M,ES213,NR,179
2022,EU_SDG_11_52_NR,M,ES213,NR,227
2020,EU_SDG_11_52_NR,M,ES213,NR,191
2023,EU_SDG_11_52_NR,M,ES213,NR,183
2019,EU_SDG_11_52_NR,M,ES213,NR,191
2016,EU_SDG_11_52_NR,M,ES212,NR,61
2017,EU_SDG_11_52_NR,M,ES212,NR,67
2019,EU_SDG_11_52_NR,M,ES212,NR,82
2018,EU_SDG_11_52_NR,M,ES212,NR,114
2023,EU_SDG_11_52_NR,M,ES212,NR,64
2020,EU_SDG_11_52_NR,M,ES212,NR,67
2015,EU_SDG_11_52_NR,M,ES212,NR,105
2021,EU_SDG_11_52_NR,M,ES212,NR,72
2022,EU_SDG_11_52_NR,M,ES212,NR,92
