Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value,Progress
2014,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,102.83,102.83
2012,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,108.54,108.54
2021,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,95.68,104.32
2010,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,90.33,109.67
2019,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,82.54,117.46
2015,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,98.57,101.43
2018,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,80.24,119.76
2016,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,85.77,114.23
2020,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,87.93,112.07
2011,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,94.91,105.09
2013,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,91.73,108.27
2022,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,85.96,114.04
2017,EU_XPD_LOCALGBPC,,,ES20003,PT,ES20003,72.13,127.87
2018,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,121.79,121.79
2022,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,110.21,110.21
2021,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,112.08,112.08
2014,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,122.79,122.79
2019,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,79.66,120.34
2016,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,121.62,121.62
2011,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,117.34,117.34
2013,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,83.47,116.53
2020,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,80.61,119.39
2010,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,77.42,122.58
2017,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,82.2,117.8
2015,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,117.83,117.83
2023,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,102.26,102.26
2012,EU_XPD_LOCALGBPC,,,ES48911,PT,ES48911,85.02,114.98
2011,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,119.62,119.62
2014,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,91.04,108.96
2017,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,124.91,124.91
2015,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,170.86,170.86
2012,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,107.1,107.1
2013,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.91,111.91
2020,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,100.68,100.68
2021,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.86,111.86
2022,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,136.39,136.39
2016,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,105.15,105.15
2019,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,111.27,111.27
2010,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,141.27,141.27
2018,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,109.42,109.42
2023,EU_XPD_LOCALGBPC,,,ES20004,PT,ES20004,83.63,116.37
2018,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,125.06,125.06
2021,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,114.77,114.77
2014,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,105.17,105.17
2010,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,95.89,104.11
2016,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,95.6,104.4
2013,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,103.7,103.7
2012,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,93.99,106.01
2019,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,94.13,105.87
2017,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,127.18,127.18
2015,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,113.51,113.51
2011,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,99.18,100.82
2023,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,88.79,111.21
2022,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,94.88,105.12
2020,EU_XPD_LOCALGBPC,,,ES20005,PT,ES20005,84.8,115.2
2013,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,79.92,120.08
2017,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,72.53,127.47
2019,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,86.44,113.56
2012,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,85.94,114.06
2023,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,81.97,118.03
2021,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,52.09,147.91
2018,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,105.87,105.87
2016,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,93.39,106.61
2011,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,84.32,115.68
2015,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,103.17,103.17
2010,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,111.59,111.59
2020,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,91.86,108.14
2022,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,54.78,145.22
2014,EU_XPD_LOCALGBPC,,,ES01001,PT,ES01001,83.02,116.98
2022,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,79.44,120.56
2021,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.3,101.3
2023,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,119.12,119.12
2012,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,77.96,122.04
2014,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,97.93,102.07
2019,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,79.59,120.41
2010,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,97.9,102.1
2015,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,97.72,102.28
2018,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.96,101.96
2016,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,112.05,112.05
2017,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,94.44,105.56
2011,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,90.01,109.99
2020,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,101.57,101.57
2013,EU_XPD_LOCALGBPC,,,ES20006,PT,ES20006,94.06,105.94
2019,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,97.29,102.71
2023,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,115.66,115.66
2014,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,104.54,104.54
2011,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,82.74,117.26
2013,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.16,103.16
2012,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,111.24,111.24
2020,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.49,103.49
2010,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.28,103.28
2016,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,106.37,106.37
2017,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,115.21,115.21
2022,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,125.08,125.08
2015,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,95.08,104.92
2021,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,116.02,116.02
2018,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,125.82,125.82
2010,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,97.25,102.75
2016,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,103.37,103.37
2020,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,65.28,134.72
2013,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,79.12,120.88
2021,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,117.75,117.75
2012,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,113.79,113.79
2019,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,86.54,113.46
2022,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,100.42,100.42
2017,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,42.28,157.72
2023,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,71.41,128.59
2018,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,129.31,129.31
2015,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,113.51,113.51
2014,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,101.83,101.83
2011,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,105.24,105.24
2020,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,99.48,100.52
2010,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,156,156.0
2011,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,94.99,105.01
2014,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,86.95,113.05
2016,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,95.93,104.07
2015,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,105.45,105.45
2018,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,148.61,148.61
2022,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,115,115.0
2021,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,146.41,146.41
2023,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,197.9,197.9
2013,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,91.09,108.91
2017,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,151.2,151.2
2012,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,123.95,123.95
2019,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,118.58,118.58
2012,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,101.91,101.91
2011,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,145.65,145.65
2013,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,121.27,121.27
2016,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,92.66,107.34
2019,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,90.39,109.61
2014,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,105.55,105.55
2017,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,125.35,125.35
2015,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,115.38,115.38
2020,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,102.86,102.86
2023,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,108.72,108.72
2018,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,114.69,114.69
2021,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,116.22,116.22
2010,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,80.5,119.5
