Year,Series,Province,Units,Progress,Value
2024,Proportion of women among Provincial Deputies,Gipuzkoa,%,70.0,70.0
2023,Proportion of women among Provincial Deputies,Gipuzkoa,%,70.0,70.0
2022,Proportion of women among Provincial Deputies,Gipuzkoa,%,50.0,50.0
2021,Proportion of women among Provincial Deputies,Gipuzkoa,%,50.0,50.0
2020,Proportion of women among Provincial Deputies,Gipuzkoa,%,50.0,50.0
2019,Proportion of women among Provincial Deputies,Gipuzkoa,%,50.0,50.0
2018,Proportion of women among Provincial Deputies,Gipuzkoa,%,55.6,44.4
2017,Proportion of women among Provincial Deputies,Gipuzkoa,%,55.6,44.4
2016,Proportion of women among Provincial Deputies,Gipuzkoa,%,55.6,44.4
2015,Proportion of women among Provincial Deputies,Gipuzkoa,%,55.6,44.4
2014,Proportion of women among Provincial Deputies,Gipuzkoa,%,62.5,37.5
2013,Proportion of women among Provincial Deputies,Gipuzkoa,%,62.5,37.5
2012,Proportion of women among Provincial Deputies,Gipuzkoa,%,62.5,37.5
2011,Proportion of women among Provincial Deputies,Gipuzkoa,%,62.5,37.5
2010,Proportion of women among Provincial Deputies,Gipuzkoa,%,63.6,36.4
2025,Proportion of women among Provincial Deputies,Bizkaia,%,80.0,80.0
2024,Proportion of women among Provincial Deputies,Bizkaia,%,80.0,80.0
2023,Proportion of women among Provincial Deputies,Bizkaia,%,80.0,80.0
2022,Proportion of women among Provincial Deputies,Bizkaia,%,50.0,50.0
2021,Proportion of women among Provincial Deputies,Bizkaia,%,50.0,50.0
2020,Proportion of women among Provincial Deputies,Bizkaia,%,50.0,50.0
2019,Proportion of women among Provincial Deputies,Bizkaia,%,50.0,50.0
2018,Proportion of women among Provincial Deputies,Bizkaia,%,55.6,55.6
2017,Proportion of women among Provincial Deputies,Bizkaia,%,55.6,55.6
2016,Proportion of women among Provincial Deputies,Bizkaia,%,55.6,55.6
2015,Proportion of women among Provincial Deputies,Bizkaia,%,55.6,55.6
2014,Proportion of women among Provincial Deputies,Bizkaia,%,60.0,40.0
2013,Proportion of women among Provincial Deputies,Bizkaia,%,60.0,40.0
2012,Proportion of women among Provincial Deputies,Bizkaia,%,60.0,40.0
2011,Proportion of women among Provincial Deputies,Bizkaia,%,60.0,40.0
2010,Proportion of women among Provincial Deputies,Bizkaia,%,66.7,33.3
2025,Proportion of women among local councilors,,%,53.2,46.8
2024,Proportion of women among local councilors,,%,53.5,46.5
2023,Proportion of women among local councilors,,%,51.7,48.3
2022,Proportion of women among local councilors,,%,52.5,47.5
2021,Proportion of women among local councilors,,%,52.5,47.5
2020,Proportion of women among local councilors,,%,52.2,47.8
2019,Proportion of women among local councilors,,%,52.2,47.8
2018,Proportion of women among local councilors,,%,58.6,41.4
2017,Proportion of women among local councilors,,%,58.6,41.4
2016,Proportion of women among local councilors,,%,58.6,41.4
2015,Proportion of women among local councilors,,%,58.6,41.4
2014,Proportion of women among local councilors,,%,59.7,40.3
2013,Proportion of women among local councilors,,%,59.5,40.5
2012,Proportion of women among local councilors,,%,59.6,40.4
2011,Proportion of women among local councilors,,%,59.6,40.4
2010,Proportion of women among local councilors,,%,72.2,27.8
2024,Proportion of women among mayors,,%,65.7,34.3
2023,Proportion of women among mayors,,%,66.9,33.1
2022,Proportion of women among mayors,,%,69.7,30.3
2021,Proportion of women among mayors,,%,69.7,30.3
2020,Proportion of women among mayors,,%,70.8,29.2
2019,Proportion of women among mayors,,%,70.8,29.2
2018,Proportion of women among mayors,,%,74.8,25.2
2017,Proportion of women among mayors,,%,74.8,25.2
2016,Proportion of women among mayors,,%,74.8,25.2
2015,Proportion of women among mayors,,%,74.8,25.2
2014,Proportion of women among mayors,,%,76.9,23.1
2013,Proportion of women among mayors,,%,77.7,22.3
2012,Proportion of women among mayors,,%,78.0,22.0
2011,Proportion of women among mayors,,%,78.0,22.0
2010,Proportion of women among mayors,,%,80.1,19.9
2025,Proportion of women among mayors,,%,64.3,35.7
